id,Категория,Название,Время публикации,Ссылка
1,Политика,"Цивилева продолжит возглавлять фонд ""Защитники отечества"" ","Вчера, 11:25",https://ria.ru/20240728/tsivileva-1962486853.html
2,Политика,"Речи о мобилизации в России не идет, заявил Песков ","27 июля, 05:04",https://ria.ru/20240727/mobilizatsiya-1962317075.html
3,Политика,В Госдуме призвали усилить работу туристической полиции ,"27 июля, 03:45",https://ria.ru/20240727/politsiya-1962313516.html
4,Политика,В Кремле оценили политическую мудрость Трампа ,"26 июля, 13:21",https://ria.ru/20240726/tramp-1962142344.html
5,Политика,"В Кремле не знают, останется ли Лукашенко на парад в день ВМФ ","26 июля, 13:19",https://ria.ru/20240726/peskov-1962141937.html
6,Политика,Посол Китая в России рассказал о подготовке взаимных визитов ,"26 июля, 12:14",https://ria.ru/20240726/kitaj-1962120070.html
7,Политика,Россия и АСЕАН договорились укреплять сотрудничество ,"26 июля, 12:10",https://ria.ru/20240726/asean-1962119271.html
8,Политика,Песков заявил об отсутствии двусторонних отношений с США ,"26 июля, 11:52",https://ria.ru/20240726/peskov-1962114590.html
9,Политика,"""Этого так не оставим"". Ближайший союзник выдвинул Киеву ультиматум ","26 июля, 08:00",https://ria.ru/20240726/soyuznik-1962006322.html
10,Политика,Путин исключил Левитина из состава президиума Госсовета ,"25 июля, 17:55",https://ria.ru/20240725/levitin-1962009907.html
11,Политика,Путин обновил состав президиума Госсовета ,"25 июля, 17:13",https://ria.ru/20240725/gossovet-1962000314.html
12,Политика,На пост губернатора Ставрополья претендуют пять кандидатов ,"25 июля, 15:27",https://ria.ru/20240725/kandidaty-1961962435.html
13,Политика,"В МИД России рассказали об участниках конференции ""Россия — Африка"" ","25 июля, 14:35",https://ria.ru/20240725/afrika-1961948816.html
14,Политика,СМИ сообщили ВСУ плохие новости об их новом вооружении ,"25 июля, 13:58",https://ria.ru/20240725/forbes-1961943377.html
15,Политика,В Кремле рассказали о переговорах Путина и Асада ,"25 июля, 12:42",https://ria.ru/20240725/putin-1961921790.html
16,Политика,"""Все это понимают"". На Западе сделали заявление о России и Украине ","25 июля, 11:55",https://ria.ru/20240725/zayavlenie-1961901381.html
17,Политика,Песков рассказал о подготовке визита Путина в Турцию ,"25 июля, 09:37",https://ria.ru/20240725/peskov-1961870502.html
18,Политика,"""Риск для территорий"". СМИ предупредили Украину об опасной угрозе ","25 июля, 09:31",https://ria.ru/20240725/bi-1961869577.html
19,Политика,Асад заявил об актуальности переговоров с Путиным ,"25 июля, 09:18",https://ria.ru/20240725/asad-1961865707.html
20,Политика,Путин встретился с Асадом ,"25 июля, 09:03",https://ria.ru/20240725/asad-1961862828.html
21,Экономика,"ФАС предупредила ""дочку"" ""Сургутнефтегаза"" в Твери из-за разных цен на АЗС ",10:58,https://ria.ru/20240729/fas-1962628228.html
22,Экономика,Россия нарастит усилия по разведке новых месторождений полезных ископаемых ,10:58,https://ria.ru/20240729/issledovaniya-1962627479.html
